alias	target
bunny ears	うさみみ
rabbit ears	うさみみ
兎耳	うさみみ
兔耳	うさみみ
pigtails	おさげ
辫子	おさげ
azur lane	アズールレーン
碧蓝航线	アズールレーン
碧藍航線	アズールレーン
ahoge	アホ毛
呆毛	アホ毛
amiya	アーミヤ(アークナイツ)
阿米娅	アーミヤ(アークナイツ)
阿米婭	アーミヤ(アークナイツ)
earrings	イヤリング
wink	ウィンク
抛媚眼	ウィンク
拋媚眼	ウィンク
apron	エプロン
围裙	エプロン
heterochromia	オッドアイ
异色瞳	オッドアイ
異色瞳	オッドアイ
orange hair	オレンジ髪
橘髮	オレンジ髪
headband	カチューシャ
short hair	ショートヘア
short haircut	ショートヘア
短发	ショートヘア
短髪	ショートヘア
短髮	ショートヘア
silhouette	シルエット
剪影	シルエット
tracksuit	ジャージ
运动服	ジャージ
運動服	ジャージ
stockings	ストッキング
丝袜	ストッキング
絲襪	ストッキング
suit	スーツ
西装	スーツ
西裝	スーツ
medium hair	セミロング
sailor suit	セーラー服
sailor uniform	セーラー服
水手服	セーラー服
裤袜	タイツ
褲襪	タイツ
twin pig tails	ツインテール
twin ponytails	ツインテール
twintails	ツインテール
双马尾	ツインテール
雙馬尾	ツインテール
dress	ドレス
洋装	ドレス
连衣裙	ドレス
連身洋裝	ドレス
knee highs	ニーソックス
kneesocks	ニーソックス
over-the-knee socks	ニーソックス
膝上襪	ニーソックス
过膝袜	ニーソックス
high angle	ハイアングル
俯瞰	ハイアングル
high heels	ハイヒール
高跟鞋	ハイヒール
hoodie	パーカー
帽T	パーカー
连帽衫	パーカー
bikini	ビキニ
比基尼	ビキニ
piercing	ピアス
穿洞	ピアス
pink hair	ピンク髪
桃髪	ピンク髪
粉色头发	ピンク髪
peace sign	ピースサイン
boot	ブーツ
boots	ブーツ
長靴	ブーツ
长靴	ブーツ
靴子	ブーツ
hair clip	ヘアピン
hairpin	ヘアピン
发夹	ヘアピン
髮夾	ヘアピン
ponytail	ポニーテール
单马尾	ポニーテール
馬尾	ポニーテール
马尾	ポニーテール
mask	マスク
口罩	マスク
覆面	マスク
面具	マスク
maid outfit	メイド服
maid uniform	メイド服
女仆装	メイド服
女僕裝	メイド服
black and white	モノクロ
black&white	モノクロ
黑白	モノクロ
ribbon	リボン
蝴蝶结	リボン
long hair	ロングヘア
長髪	ロングヘア
長髮	ロングヘア
长发	ロングヘア
braid	三つ編み
三股辮	三つ編み
麻花辫	三つ編み
full body	全身
全身像	全身
uniform	制服
sleeping face	寝顔
睡顏	寝顔
睡颜	寝顔
tail	尻尾
尾巴	尻尾
miko	巫女
hat	帽子
帽子	帽子
後姿	後ろ姿
背影	後ろ姿
gloves	手袋
手套	手袋
pointing	指差し
指向	指差し
指着	指差し
侧脸	横顔
swimsuit	水着
水著	水着
泳衣	水着
泳装	水着
泳裝	水着
crying face	泣き顔
哭脸	泣き顔
哭臉	泣き顔
yukata	浴衣
dog ears	犬耳
fox ears	狐耳
cat ear	猫耳
cat ears	猫耳
貓耳	猫耳
lab coat	白衣
实验服	白衣
實驗服	白衣
白大褂	白衣
gray hair	白髪
white hair	白髪
白发	白髪
白髮	白髪
glasses	眼鏡
眼镜	眼鏡
kimono	着物
和服	着物
blue eyes	碧眼
青目	碧眼
青眼	碧眼
smile	笑顔
微笑	笑顔
笑臉	笑顔
purple eyes	紫目
紫眼	紫目
purple hair	紫髪
紫发	紫髪
紫髮	紫髪
green eyes	緑眼
綠眼	緑眼
绿眼	緑眼
绿色眼睛	緑眼
green hair	緑髪
綠髮	緑髪
绿发	緑髪
wing	翼
wings	翼
羽翼	翼
background	背景
arms crossed	腕組み
双臂交叉	腕組み
抱臂	腕組み
雙臂交叉	腕組み
brown hair	茶髪
brunette	茶髪
棕发	茶髪
棕髮	茶髪
茶发	茶髪
茶髮	茶髪
仰视	見上げる
looking back	見返り
回头	見返り
回頭	見返り
horn	角
red eyes	赤目
紅眼	赤目
赤眼	赤目
赤瞳	赤目
blushing	赤面
脸红	赤面
red hair	赤髪
紅髪	赤髪
military uniform	軍服
军装	軍服
backlighting	逆光
逆光	逆光
golden eyes	金眼
金色眼睛	金眼
金色瞳孔	金眼
blond	金髪
blonde	金髪
金发	金髪
金髮	金髪
silver hair	銀髪
銀髮	銀髪
银发	銀髪
blue hair	青髪
蓝发	青髪
蓝髮	青髪
scenery	風景
场景	風景
場景	風景
景色	風景
风景	風景
choker	首輪
collar	首輪
項圈	首輪
项圈	首輪
black hair	黒髪
黑发	黒髪
黑髮	黒髪
